lyric,album
"Oh, I'm just a girl, oh, oh",taylor swift
"Oh, I'm just a girl",taylor swift
"I blew things out of proportion, now you're blue",lover
Put you in jail for something you didn't do,lover
"I pinned your hands behind your back, oh",lover
"Thought I had reason to attack, but no",lover
Fighting with a true love is boxing with no gloves,lover
"Chemistry 'til it blows up, 'til there's no us",lover
Why'd I have to break what I love so much?,lover
"It's on your face, and I'm to blame, I need to say",lover
"Hey, it's all me, in my head",lover
I'm the one who burned us down,lover
But it's not what I meant,lover
Sorry that I hurt you,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",lover
"I need to say, hey, it's all me, just don't go",lover
Meet me in the afterglow,lover
It's so excruciating to see you low,lover
Just wanna lift you up and not let you go,lover
This ultraviolet morning light below,lover
"Tells me this love is worth the fight, oh",lover
"I lived like an island, punished you in silence",lover
"Went off like sirens, just crying",lover
Why'd I have to break what I love so much?,lover
"It's on your face, don't walk away, I need to say",lover
"Hey, it's all me, in my head",lover
I'm the one who burned us down,lover
But it's not what I meant,lover
Sorry that I hurt you,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",lover
"I need to say, hey, it's all me, just don't go",lover
Meet me in the afterglow,lover
Tell me that you're still mine,lover
Tell me that we'll be just fine,lover
Even when I lose my mind,lover
I need to say,lover
Tell me that it's not my fault,lover
Tell me that I'm all you want,lover
Even when I break your heart,lover
I need to say,lover
"Hey, it's all me, in my head",lover
I'm the one who burned us down,lover
But it's not what I meant,lover
Sorry that I hurt you,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",lover
"I need to say, hey, it's all me, just don't go",lover
Meet me in the afterglow,lover
I walked through the door with you the air was cold,red
But something about it felt like home somehow,red
And I left my scarf there at your sister's house,red
"And you still got it in your drawer, even now",red
"Oh, your sweet disposition and my wide-eyed gaze",red
We're singing in the car getting lost upstate,red
Autumn leaves falling down like pieces into place,red
And I can picture it after all these days,red
And I know it's long gone and that magic's not here no more,red
And I might be okay but I'm not fine at all,red
'Cause there we are again on that little town street,red
You almost ran the red 'cause you were looking over me,red
"Wind in my hair, I was there, I remember it all too well",red
Photo album on the counter,red
Your cheeks were turning red,red
You used to be a little kid with glasses in a twin-sized bed,red
And your mother's telling stories 'bout you on the tee ball team,red
You taught me about your past thinking your future was me,red
And I know it's long gone and,red
there was nothing else I could do,red
And I forget about you long enough,red
to forget why I needed to,red
'Cause there we are again in the middle of the night,red
We're dancing 'round the kitchen in the refrigerator light,red
"Down the stairs, I was there, I remember it all to well",red
Yeah,red
And maybe we got lost in translation,red
Maybe I asked for too much,red
But maybe this thing was a masterpiece,red
'til you tore it all up,red
"Running scared, I was there, I remember it all too well",red
And you call me up again just to break me like a promise,red
So casually cruel in the name of being honest,red
I'm a crumpled up piece of paper lying here,red
"'Cause I remember it all, all, all too well",red
"Time won't fly, it's like I'm paralyzed by it",red
I'd like to be my old self again,red
but I'm still trying to find it,red
After plaid shirt days and nights when you made me your own,red
Now you mail back my things and I walk home alone,red
But you keep my old scarf from that very first week,red
'Cause it reminds you of innocence and it smells like me,red
You can't get rid of it 'cause you remember it all too well,red
Yeah,red
'Cause there we are again when I loved you so,red
Back before you lost the one real thing you've ever known,red
"It was rare, I was there, I remember it all too well",red
"Wind in my hair, you were there, you remember it all",red
"Down the stairs, you were there, 'cause you remember it all",red
"It was rare, I was there, I remember it all too well",red
People like you always want back the love they gave away,1989
And people like me wanna believe you when you say you've changed,1989
The more I think about it now,1989
The less I know,1989
All I know is that you drove us off the road,1989
Stay,1989
"Hey, all you had to do was stay",1989
Had me in the palm of your hand,1989
"Then, why'd you have to go and lock me out when I let you in?",1989
Stay,1989
"Hey, now you say you want it back",1989
Now it's just too late,1989
"Well, it could've been easy",1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
Here you are now,1989
Calling me up,1989
But I don't know what to say,1989
I've been picking up the pieces of the mess you made,1989
People like you always want back the love they pushed aside,1989
But people like me are gone forever,1989
When you say goodbye,1989
Stay,1989
"Hey, all you had to do was stay",1989
Had me in the palm of your hand,1989
"Then, why'd you have to go and lock me out when I let you in?",1989
Stay,1989
"Hey, now you say you want it back",1989
Now it's just too late,1989
"Well, it could've been easy",1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
Let me remind you this was what you wanted,1989
You ended it,1989
You were all I wanted,1989
But not like this,1989
Not like this,1989
Not like this,1989
Oh,1989
All you had to do was stay,1989
"Hey, all you had to do was stay",1989
Had me in the palm of your hand,1989
"Then, why'd you have to go and lock me out when I let you in?",1989
Stay,1989
"Hey, now you say you want it back",1989
Now it's just too late,1989
"Well, could've been easy",1989
All you had to do was stay,1989
"Hey, all you had to do was stay",1989
Had me in the palm of your hand,1989
"Then, why'd you have to go and lock me out when I let you in?",1989
Stay,1989
"Hey, now you say you want it back",1989
Now it's just too late,1989
"Well, could've been easy",1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
All you had to do was stay,1989
"Salt air, and the rust on your door",folklore
I never needed anything more,folklore
"Whispers of ""Are you sure?""",folklore
"""Never have I ever before""",folklore
But I can see us lost in the memory,folklore
August slipped away into a moment in time,folklore
'Cause it was never mine,folklore
And I can see us twisted in bedsheets,folklore
August sipped away like a bottle of wine,folklore
'Cause you were never mine,folklore
Your back beneath the sun,folklore
Wishin' I could write my name on it,folklore
Will you call when you're back at school?,folklore
I remember thinkin' I had you,folklore
But I can see us lost in the memory,folklore
August slipped away into a moment in time,folklore
'Cause it was never mine,folklore
And I can see us twisted in bedsheets,folklore
August sipped away like a bottle of wine,folklore
'Cause you were never mine,folklore
Back when we were still changin' for the better,folklore
Wanting was enough,folklore
"For me, it was enough",folklore
To live for the hope of it all,folklore
Canceled plans just in case you'd call,folklore
"And say, ""Meet me behind the mall""",folklore
"So much for summer love and saying ""us""",folklore
'Cause you weren't mine to lose,folklore
"You weren't mine to lose, oh",folklore
But I can see us lost in the memory,folklore
August slipped away into a moment in time,folklore
'Cause it was never mine,folklore
And I can see us twisted in bedsheets,folklore
August sipped away like a bottle of wine,folklore
'Cause you were never mine,folklore
'Cause you were never mine,folklore
Never mine,folklore
But do you remember?,folklore
"Remember when I pulled up and said ""Get in the car""",folklore
And then canceled my plans just in case you'd call?,folklore
"Back when I was livin' for the hope of it all, for the hope of it all",folklore
"""Meet me behind the mall""",folklore
"(Remember when I pulled up and said ""Get in the car""",folklore
And then canceled my plans just in case you'd call?,folklore
"Back when I was livin' for the hope of it all, for the hope of it all",folklore
"""Meet me behind the mall"")",folklore
"Remember when I pulled up and said ""Get in the car""",folklore
And then canceled my plans just in case you'd call?,folklore
Back when I was livin' for the hope of it all (For the hope of it all),folklore
"For the hope of it all, for the hope of it all",folklore
"(For the hope of it all, for the hope of it all)",folklore
I'm so glad you made time to see me,speak now
"How's life, tell me how's your family",speak now
I haven't seen them in a while,speak now
"You've been good, busier then ever",speak now
"We small talk, work and the weather",speak now
Your guard is up and I know why,speak now
'Cause the last time you saw me,speak now
Is still burned in the back of your mind,speak now
You gave me roses and I left them there to die,speak now
So this is me swallowing my pride standing in front of you saying I'm sorry for that night,speak now
And I'd go back to December all the time,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,speak now
"I'd go back to December, turn around and make it all right",speak now
I'd go back to December all the time,speak now
These days I haven't been sleeping,speak now
Staying up playing back myself leaving,speak now
When your birthday passed and I didn't call,speak now
"And I think about summer, all the beautiful times",speak now
I watched you laughing from the passenger side and,speak now
Realized I loved you in the fall,speak now
"And then the cold came, the dark days when fear crept into my mind",speak now
You gave me all your love and all I gave you was goodbye,speak now
So this is me swallowing my pride standing in front of you saying I'm sorry for that night,speak now
And I'd go back to December all the time,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,speak now
"I'd go back to December, turn around and change my own mind",speak now
I'd go back to December all the time,speak now
"I miss your tan skin, your sweet smile, so good to me, so right",speak now
And how you held me in your arms that September night,speak now
The first time you ever saw me cry,speak now
Maybe this is wishful thinking,speak now
Probably mindless dreaming,speak now
If we loved again I swear I'd love you right,speak now
I'd go back in time and change it but I can't,speak now
"So if the chain is on your door, I understand",speak now
But this is me swallowing my pride standing in front of you saying I'm sorry for that night,speak now
And I'd go back to December,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,speak now
"I'd go back to December, turn around and make it alright",speak now
"I'd go back to December, turn around and change my own mind",speak now
I'd go back to December all the time,speak now
All the time,speak now
'Cause baby now we got bad blood,1989
You know it used to be mad love,1989
So take a look at what you've done,1989
'Cause baby now we got bad blood (hey!),1989
Now we got problems,1989
And I don't think we can solve them,1989
You made a really deep cut,1989
And baby now we got bad blood (hey!),1989
Did you have to do this?,1989
I was thinking that you could be trusted,1989
Did you have to ruin what was shining now it's all rusted,1989
Did you have to hit me where,1989
"I'm weak, baby, I couldn't breathe",1989
I rubbed it in so deep,1989
Salt in the wound like you're laughing right at me,1989
"Oh, it's so sad to think about the good times",1989
You and I,1989
'Cause baby now we got bad blood,1989
You know it used to be mad love,1989
So take a look at what you've done,1989
'Cause baby now we got bad blood (hey!),1989
Now we got problems,1989
And I don't think we can solve them,1989
You made a really deep cut,1989
And baby now we got bad blood (hey!),1989
Did you think we'd be fine?,1989
Still got scars on my back from your knife,1989
So don't think it's in the past,1989
These kind of wounds they last and they last,1989
Now did you think it all through?,1989
All these things will catch up to you,1989
And time can heal but this won't,1989
"So if you come in my way, just don't",1989
"Oh, it's so sad to think about the good times",1989
You and I,1989
'Cause baby now we got bad blood,1989
You know it used to be mad love,1989
So take a look at what you've done,1989
'Cause baby now we got bad blood (hey!),1989
Now we got problems,1989
And I don't think we can solve them,1989
You made a really deep cut,1989
And baby now we got bad blood (hey!),1989
Band-aids don't fix bullet holes,1989
You say sorry just for show,1989
"You live like that, you live with ghosts (ghosts, ghosts)",1989
Band-aids don't fix bullet holes (hey!),1989
You say sorry just for show (hey!),1989
"You live like that, you live with ghosts (hey!)",1989
"Hm, if you love like that blood runs",1989
(Bad) 'Cause baby now we got bad blood,1989
You know it used to be mad love,1989
So take a look at what you've done,1989
'Cause baby now we got bad blood (bad),1989
(Blood) Now we got problems,1989
And I don't think we can solve them (think we can solve them),1989
You made a really deep cut,1989
And baby now we got bad blood,1989
('Cause now we got bad blood) 'Cause baby now we got bad blood,1989
You know it used to be mad love,1989
So take a look at what you've done (look at what you've done),1989
'Cause baby now we got bad blood (woah),1989
Now we got problems,1989
And I don't think we can solve them,1989
You made a really deep cut,1989
And baby now we got bad blood (hey!),1989
"'Cause, baby, now we've got bad blood",1989
You know it used to be mad love,1989
So take a look what you've done,1989
"'Cause, baby, now we've got bad blood, hey!",1989
"I can't take it back, look where I'm at",1989
"We was OG like D.O.C., remember that?",1989
"My TLC was quite OD, ID my facts",1989
"Now POV of you and me, similar Iraq",1989
"I don't hate you, but I hate to critique, overrate you",1989
"These beats of a dark heart, use basslines to replace you",1989
"Take time and erase you, love don't hear no more",1989
"No, I don't fear no more",1989
"Better yet, respect ain't quite sincere no more",1989
"Oh, it's so sad to",1989
Think about the good times,1989
You and I,1989
"'Cause, baby, now we've got bad blood",1989
You know it used to be mad love,1989
So take a look what you've done,1989
"'Cause, baby, now we've got bad blood, hey!",1989
Now we've got problems,1989
And I don't think we can solve 'em,1989
You made a really deep cut,1989
"And, baby, now we've got bad blood, hey!",1989
Remember when you tried to write me off?,1989
Remember when you thought I'd take a loss?,1989
Don't you remember? You thought that I would need ya,1989
"Follow procedure, remember? Oh, wait, you got amnesia",1989
It was my season for battle wounds,1989
"Battle scars, body bumped, bruised",1989
"Stabbed in the back; brimstone, fire jumping through",1989
"Still, all my life, I got money and power",1989
And you gotta live with the bad blood now,1989
"Oh, it's so sad to",1989
Think about the good times,1989
You and I,1989
"'Cause, baby, now we've got bad blood",1989
You know it used to be mad love,1989
So take a look what you've done,1989
"'Cause, baby, now we've got bad blood, hey!",1989
Now we've got problems,1989
And I don't think we can solve 'em,1989
You made a really deep cut,1989
"And, baby, now we've got bad blood, hey!",1989
Band-Aids don't fix bullet holes,1989
You say sorry just for show,1989
"You live like that, you live with ghosts",1989
"You forgive, you forget, but you never let it go",1989
Band-Aids don't fix bullet holes,1989
You say sorry just for show,1989
"If you live like that, you live with ghosts",1989
"If you love like that, blood runs cold",1989
"'Cause, baby, now we've got bad blood",1989
You know it used to be mad love,1989
So take a look what you've done,1989
"'Cause, baby, now we've got bad blood, hey!",1989
Now we've got problems,1989
And I don't think we can solve 'em,1989
You made a really deep cut,1989
"And, baby, now we've got bad blood, hey!",1989
"'Cause, baby, now we've got bad blood",1989
You know it used to be mad love,1989
So take a look what you've done,1989
"'Cause, baby, now we've got bad blood, hey!",1989
Now we've got problems,1989
And I don't think we can solve 'em,1989
You made a really deep cut,1989
"And, baby, now we've got bad blood, hey!",1989
Your beautiful eyes,fearless
Stare right into my eyes,fearless
And sometimes,fearless
I think of you late at night,fearless
I don't know why,fearless
I want to be somewhere,fearless
Where you are,fearless
I want to be where,fearless
You're here,fearless
Your eyes are looking into mine,fearless
"So baby, make me fly",fearless
My heart has never felt this way before,fearless
I'm looking through your,fearless
I'm looking through your eyes,fearless
"I wake up, I'm alive",fearless
In only a little while I'll cry,fearless
'Cause you're my lullaby,fearless
"So baby come, hold me tight",fearless
"'Cause I, I",fearless
I want to be everything you need,fearless
I want to be where,fearless
You're here,fearless
Your eyes are looking into mine,fearless
"So baby, make me fly",fearless
My heart has never felt this way before,fearless
I'm looking through your,fearless
I'm looking through your eyes,fearless
Just as long as you're mine,fearless
I'll be your everything tonight,fearless
"Let me love you, kiss you",fearless
"Baby, let me miss you",fearless
Let me see your,fearless
Dream about,fearless
Dream about,fearless
Dream about your eyes,fearless
"Eyes, eyes, beautiful eyes",fearless
Your beautiful eyes,fearless
Stare right into my eyes,fearless
And sometimes,fearless
I think of you late at night,fearless
I don't know why,fearless
I want to be somewhere,fearless
Where you are,fearless
I want to be where,fearless
You're here,fearless
Your eyes are looking into mine,fearless
"So baby, make me fly",fearless
My heart has never felt this way before,fearless
I'm looking through your,fearless
I'm looking through your eyes,fearless
"I wake up, I'm alive",fearless
In only a little while I'll cry,fearless
'Cause you're my lullaby,fearless
"So baby come, hold me tight",fearless
"'Cause I, I",fearless
I want to be everything you need,fearless
I want to be where,fearless
You're here,fearless
Your eyes are looking into mine,fearless
"So baby, make me fly",fearless
My heart has never felt this way before,fearless
I'm looking through your,fearless
I'm looking through your eyes,fearless
Just as long as you're mine,fearless
I'll be your everything tonight,fearless
"Let me love you, kiss you",fearless
"Baby, let me miss you",fearless
Let me see your,fearless
Dream about,fearless
Dream about,fearless
Dream about your eyes,fearless
"Eyes, eyes, beautiful eyes",fearless
Took a deep breath in the mirror,red
"He didn't like it when I wore high heels, but I do",red
Turned the lock & put my headphones on,red
He always said he didn't get this song but I do,red
I do,red
Walked in expecting you'd be late,red
But you got here early & you stand & wave,red
I walk to you,red
You pulled my chair out & helped me in,red
And you don't know how nice that is,red
But I do,red
And you throw your head back laughing like a little kid,red
I think it's strange that you think I'm funny 'cause he never did,red
I've been spending the last eight months thinking all love ever does,red
Is break & burn & end,red
But on a Wednesday in a café,red
I watched it begin again,red
...,red
You said you never met one girl who had as many James Taylor records as you,red
But I do,red
We tell stories & you don't know why,red
I'm coming off a little shy,red
But I do,red
But you throw your head back laughing like a little kid,red
I think it's strange that you think I'm funny 'cause he never did,red
I've been spending the last eight months thinking all love ever does,red
Is break & burn & end,red
But on a Wednesday in a café,red
I watched it begin again,red
...,red
And we walk down the block to my car,red
And I almost brought him up,red
But you start to talk about the movies that your family watches,red
every single Christmas & I won't talk about that,red
"And for the first time, what's past is past",red
'Cause you throw your head back laughing like a little kid,red
I think it's strange that you think I'm funny 'cause he never did,red
I've been spending the last eight months thinking all love ever does,red
Is break & burn & end,red
Then on a Wednesday in a café,red
I watched it begin again,red
Then on a Wednesday in a café,red
I watched it begin again,red
You're on the phone with your girlfriend—she's upset,fearless
She's going off about something that you said,fearless
'Cause she doesn't get your humor like I do.,fearless
"I'm in the room, it's a typical Tuesday night.",fearless
I'm listening to the kind of music she doesn't like.,fearless
And she'll never know your story like I do,fearless
But she wears short skirts,fearless
I wear t-shirt,fearless
She's cheer captain,fearless
And I'm on the bleachers,fearless
Dreaming about the day when you wake up and find,fearless
That what you're looking for has been here the whole time.,fearless
If you could see,fearless
That I'm the one,fearless
Who understands you,fearless
Been here all along,fearless
"So, why can't you see",fearless
You belong with me,fearless
You belong with me?,fearless
Walk in the streets with you in your worn out jeans,fearless
I can't help thinking this is how it ought to be.,fearless
Laughing on a park bench thinking to myself,fearless
"""Hey, isn't this easy?""",fearless
And you've got a smile,fearless
That can light up this whole town,fearless
I haven't seen it in awhile,fearless
Since she brought you down.,fearless
You say you're fine—I know you better than that,fearless
"Hey, what you doing with a girl like that?",fearless
She wears high heels,fearless
I wear sneakers,fearless
She's cheer captain,fearless
And I'm on the bleachers,fearless
Dreaming about the day when you wake up and find,fearless
That what you're looking for has been here the whole time,fearless
If you could see,fearless
That I'm the one,fearless
Who understands you,fearless
Been here all along,fearless
"So, why can't you see",fearless
You belong with me?,fearless
Standing by and waiting at your backdoor.,fearless
"All this time how could you not know, baby?",fearless
You belong with me,fearless
You belong with me,fearless
"Oh, I remember you driving to my house",fearless
In the middle of the night,fearless
I'm the one who makes you laugh,fearless
When you know you're 'bout to cry,fearless
I know your favorite songs,fearless
And you tell me about your dreams,fearless
Think I know where you belong,fearless
Think I know it's with me,fearless
Can't you se that I'm the one,fearless
Who understands you?,fearless
Been here all along,fearless
"So, why can't you see",fearless
You belong with me?,fearless
Standing by and waiting at your backdoor.,fearless
"All this time how could you not know, baby?",fearless
You belong with me,fearless
You belong with me,fearless
You belong with me,fearless
Have you ever thought just maybe,fearless
You belong with me?,fearless
You belong with me,fearless
Now go stand in the corner,speak now
And think about what you did,speak now
...,speak now
Ha,speak now
...,speak now
Time for a little revenge,speak now
...,speak now
The story starts when it was hot and it was summer,speak now
"And I had it all, I had him right there where I wanted him",speak now
"She came along, got him alone, and let's hear the applause",speak now
She took him faster than you can say sabotage,speak now
"I never saw it coming, wouldn't have suspected it",speak now
I underestimated just who I was dealing with,speak now
She had to know the pain was beating on me like a drum,speak now
She underestimated just who she was stealing from,speak now
...,speak now
"She's not a saint, and she's not what you think",speak now
"She's an actress, whoa",speak now
She's better known for the things that she does,speak now
"On the mattress, whoa",speak now
Soon she's gonna find stealing other people's toys,speak now
On the playground won't make you many friends,speak now
"She should keep in mind, she should keep in mind",speak now
"There is nothing I do better than revenge, ha",speak now
...,speak now
She lives her life like it's a party and she's on the list,speak now
She looks at me like I'm a trend and she's so over it,speak now
I think her ever present frown is a little troubling,speak now
She thinks I'm psycho 'cause I like to rhyme her name with things but,speak now
Sophistication isn't what you wear or who you know,speak now
Or pushing people down to get you where you wanna go,speak now
"Oh, they didn't teach you that in prep school, so it's up to me",speak now
But no amount of vintage dresses gives you dignity,speak now
...,speak now
"She's not a saint, and she's not what you think",speak now
"She's an actress, whoa",speak now
She's better known for the things that she does,speak now
"On the mattress, whoa",speak now
Soon she's gonna find stealing other people's toys,speak now
On the playground won't make you many friends,speak now
"She should keep in mind, she should keep in mind",speak now
"There is nothing I do better than revenge, ha",speak now
...,speak now
"I'm just another thing for you to roll your eyes at, honey",speak now
"You might have him, but haven't you heard?",speak now
"I'm just another thing for you to roll your eyes at, honey",speak now
"You might have him, but I always get the last word",speak now
Woah,speak now
...,speak now
"She's not a saint, and she's not what you think",speak now
"She's an actress, whoa",speak now
She's better known for the things that she does,speak now
"On the mattress, whoa",speak now
Soon she's gonna find stealing other people's toys,speak now
On the playground won't make you many friends,speak now
"She should keep in mind, she should keep in mind",speak now
"There is nothing I do better than revenge, ha",speak now
...,speak now
And do you still feel like you know what you're doing?,speak now
"'Cause I don't think you do, oh",speak now
Do you still feel like you know what you're doing?,speak now
