lyric,genre,album
"It's miserable and magical, oh-yeah",,red
Tonight's the night when we forget about the heartbreaks,,red
"It's time, uh uh",,red
I don't know about you but im feeling 22,,red
Everything will be alright if you keep me next to you,,red
You don't know about me but I bet you want to,,red
"Everything will be alright if we just keep dancing like we're 22, 22",,red
"I don't know about you 22, 22",,red
It feels like one of those nights,,red
We ditch the whole scene,,red
It feels like one of those nights,,red
We won't be sleeping,,red
It feels like one of those nights,,red
"You look like bad news, I gotta have you, I gotta have you",,red
I don't know about you but im feeling 22,,red
Everything will be alright if you keep me next to you,,red
You don't know about me but I bet you want to,,red
"Everything will be alright if we just keep dancing like we're 22, 22",,red
Dancing like 22,,red
"Yeah, 22, yeah yeah",,red
It feels like one of those nights,,red
We ditch the whole scene,,red
It feels like one of those nights,,red
We won't be sleeping,,red
It feels like one of those nights,,red
"You look like bad news I gotta have you, I gotta have you",,red
We were both young when I first saw you,country,fearless
I close my eyes & the flashback starts,country,fearless
I'm standing there on a balcony in summer air,country,fearless
"See the lights, see the party, the ball gowns",country,fearless
See you make your way through the crowd,country,fearless
"And say ""Hello"", little did I know...",country,fearless
"That you were Romeo, you were throwing pebbles",country,fearless
"And my daddy said, ""Stay away from Juliet""",country,fearless
And I was crying on the staircase,country,fearless
"Begging you ""Please don't go"", & I said...",country,fearless
"Romeo, take me somewhere we can be alone",country,fearless
I'll be waiting; all that's left to do is run,country,fearless
You'll be the prince & I'll be the princess,country,fearless
"It's a love story baby, just say ""Yes""",country,fearless
So I sneak out to the garden to see you,country,fearless
We keep quiet 'cause we're dead if they knew,country,fearless
"So close your eyes, escape this town for a little while",country,fearless
"'Cause you were Romeo, I was a scarlet letter",country,fearless
"And my daddy said ""Stay away from Juliet""",country,fearless
But you were everything to me,country,fearless
"I was begging you ""Please don't go"", & I said...",country,fearless
"Romeo, take me somewhere we can be alone",country,fearless
I'll be waiting; all that's left to do is run,country,fearless
You'll be the prince & I'll be the princess,country,fearless
"It's a love story baby, just say ""Yes""",country,fearless
"Romeo save me, they're trying to tell me how to feel",country,fearless
This love is difficult but it's real,country,fearless
"Don't be afraid, we'll make it out of this mess",country,fearless
"It's a love story baby, just say ""Yes""",country,fearless
...,country,fearless
I got tired of waiting,country,fearless
Wondering if you were ever coming around,country,fearless
My faith in you was fading,country,fearless
When I met you on the outskirts of town,country,fearless
And I said...,country,fearless
"Romeo, save me, I've been feeling so alone",country,fearless
I keep waiting for you but you never come,country,fearless
Is this in my head? I don't know what to think,country,fearless
He knelt to the ground & pulled out a ring & said,country,fearless
"Marry me, Juliet, you'll never have to be alone",country,fearless
I love you & that's all I really know,country,fearless
"I talked to your dad, go pick out a white dress",country,fearless
"It's a love story baby, just say ""Yes""",country,fearless
Oh oh oh,country,fearless
'Cause we were both young when I first saw you,country,fearless
Why would you wanna break a perfectly good heart?,country,taylor swift
"Why would you wanna take our love and tear it all apart, now?",country,taylor swift
Why would you wanna make the very first scar?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
"Maybe I should've seen the signs, should've read the writing on the wall",country,taylor swift
And realized by the distance in your eyes that I would be the one to fall,country,taylor swift
"No matter what you say, I still can't believe",country,taylor swift
That you would walk away,country,taylor swift
"It don't make sense to me, but",country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
"Why would you wanna take our love and tear it all apart,now?",country,taylor swift
Why would you wanna make the very first scar?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
It's not unbroken anymore,country,taylor swift
How do I get it back the way it was before?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
"Why would you wanna take our love and tear it all apart, now?",country,taylor swift
Why would you wanna make the very first scar?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
"Why would you wanna take our love and tear it all apart, now?",country,taylor swift
Why would you wanna make the very first scar?,country,taylor swift
Why would you wanna break a perfectly good heart?,country,taylor swift
I don't know what I want,country,taylor swift
So don't ask me,country,taylor swift
'Cause I'm still trying to figure it out,country,taylor swift
Don't know what's down this road,country,taylor swift
I'm just walking,country,taylor swift
Trying to see through the rain coming down,country,taylor swift
Even though I'm not the only one who feels the way I do,country,taylor swift
"I'm alone, on my own",country,taylor swift
and that's all I know,country,taylor swift
"I'll be strong, I'll be wrong",country,taylor swift
"Oh, but life goes on",country,taylor swift
"Oh, I'm just a girl trying to find a place in this world",country,taylor swift
"Got the radio on, my old blue jeans",country,taylor swift
And I'm wearing my heart on my sleeve,country,taylor swift
"Feeling lucky today, got the sunshine",country,taylor swift
Can you tell me what more do I need,country,taylor swift
"And tomorrow's just a mystery, oh, yeah, but that's okay",country,taylor swift
"I'm alone, on my own",country,taylor swift
And that's all I know,country,taylor swift
"I'll be strong, I'll be wrong",country,taylor swift
"Oh, but life goes on",country,taylor swift
"Oh, I'm just a girl trying to find a place in this world",country,taylor swift
Maybe I'm just a girl on a mission but I'm ready to fly,country,taylor swift
"I'm alone, on my own",country,taylor swift
And that's all I know,country,taylor swift
"I'll be strong, I'll be wrong",country,taylor swift
"Oh, but life goes on",country,taylor swift
"Oh, I'm alone, on my own",country,taylor swift
And I don't know,country,taylor swift
"Oh, I'm just a girl trying to find a place in this world",country,taylor swift
"Oh, I'm just a girl",country,taylor swift
"Oh, I'm just a girl, oh, oh",country,taylor swift
"Oh, I'm just a girl",country,taylor swift
"I blew things out of proportion, now you're blue",pop,lover
Put you in jail for something you didn't do,pop,lover
"I pinned your hands behind your back, oh",pop,lover
"Thought I had reason to attack, but no",pop,lover
Fighting with a true love is boxing with no gloves,pop,lover
"Chemistry 'til it blows up, 'til there's no us",pop,lover
Why'd I have to break what I love so much?,pop,lover
"It's on your face, and I'm to blame, I need to say",pop,lover
"Hey, it's all me, in my head",pop,lover
I'm the one who burned us down,pop,lover
But it's not what I meant,pop,lover
Sorry that I hurt you,pop,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",pop,lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",pop,lover
"I need to say, hey, it's all me, just don't go",pop,lover
Meet me in the afterglow,pop,lover
It's so excruciating to see you low,pop,lover
Just wanna lift you up and not let you go,pop,lover
This ultraviolet morning light below,pop,lover
"Tells me this love is worth the fight, oh",pop,lover
"I lived like an island, punished you in silence",pop,lover
"Went off like sirens, just crying",pop,lover
Why'd I have to break what I love so much?,pop,lover
"It's on your face, don't walk away, I need to say",pop,lover
"Hey, it's all me, in my head",pop,lover
I'm the one who burned us down,pop,lover
But it's not what I meant,pop,lover
Sorry that I hurt you,pop,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",pop,lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",pop,lover
"I need to say, hey, it's all me, just don't go",pop,lover
Meet me in the afterglow,pop,lover
Tell me that you're still mine,pop,lover
Tell me that we'll be just fine,pop,lover
Even when I lose my mind,pop,lover
I need to say,pop,lover
Tell me that it's not my fault,pop,lover
Tell me that I'm all you want,pop,lover
Even when I break your heart,pop,lover
I need to say,pop,lover
"Hey, it's all me, in my head",pop,lover
I'm the one who burned us down,pop,lover
But it's not what I meant,pop,lover
Sorry that I hurt you,pop,lover
"I don't wanna do, I don't wanna do this to you (Ooh)",pop,lover
"I don't wanna lose, I don't wanna lose this with you (Ooh)",pop,lover
"I need to say, hey, it's all me, just don't go",pop,lover
Meet me in the afterglow,pop,lover
I walked through the door with you the air was cold,,red
But something about it felt like home somehow,,red
And I left my scarf there at your sister's house,,red
"And you still got it in your drawer, even now",,red
"Oh, your sweet disposition and my wide-eyed gaze",,red
We're singing in the car getting lost upstate,,red
Autumn leaves falling down like pieces into place,,red
And I can picture it after all these days,,red
And I know it's long gone and that magic's not here no more,,red
And I might be okay but I'm not fine at all,,red
'Cause there we are again on that little town street,,red
You almost ran the red 'cause you were looking over me,,red
"Wind in my hair, I was there, I remember it all too well",,red
Photo album on the counter,,red
Your cheeks were turning red,,red
You used to be a little kid with glasses in a twin-sized bed,,red
And your mother's telling stories 'bout you on the tee ball team,,red
You taught me about your past thinking your future was me,,red
And I know it's long gone and,,red
there was nothing else I could do,,red
And I forget about you long enough,,red
to forget why I needed to,,red
'Cause there we are again in the middle of the night,,red
We're dancing 'round the kitchen in the refrigerator light,,red
"Down the stairs, I was there, I remember it all to well",,red
Yeah,,red
And maybe we got lost in translation,,red
Maybe I asked for too much,,red
But maybe this thing was a masterpiece,,red
'til you tore it all up,,red
"Running scared, I was there, I remember it all too well",,red
And you call me up again just to break me like a promise,,red
So casually cruel in the name of being honest,,red
I'm a crumpled up piece of paper lying here,,red
"'Cause I remember it all, all, all too well",,red
"Time won't fly, it's like I'm paralyzed by it",,red
I'd like to be my old self again,,red
but I'm still trying to find it,,red
After plaid shirt days and nights when you made me your own,,red
Now you mail back my things and I walk home alone,,red
But you keep my old scarf from that very first week,,red
'Cause it reminds you of innocence and it smells like me,,red
You can't get rid of it 'cause you remember it all too well,,red
Yeah,,red
'Cause there we are again when I loved you so,,red
Back before you lost the one real thing you've ever known,,red
"It was rare, I was there, I remember it all too well",,red
"Wind in my hair, you were there, you remember it all",,red
"Down the stairs, you were there, 'cause you remember it all",,red
"It was rare, I was there, I remember it all too well",,red
People like you always want back the love they gave away,pop,1989
And people like me wanna believe you when you say you've changed,pop,1989
The more I think about it now,pop,1989
The less I know,pop,1989
All I know is that you drove us off the road,pop,1989
Stay,pop,1989
"Hey, all you had to do was stay",pop,1989
Had me in the palm of your hand,pop,1989
"Then, why'd you have to go and lock me out when I let you in?",pop,1989
Stay,pop,1989
"Hey, now you say you want it back",pop,1989
Now it's just too late,pop,1989
"Well, it could've been easy",pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
Here you are now,pop,1989
Calling me up,pop,1989
But I don't know what to say,pop,1989
I've been picking up the pieces of the mess you made,pop,1989
People like you always want back the love they pushed aside,pop,1989
But people like me are gone forever,pop,1989
When you say goodbye,pop,1989
Stay,pop,1989
"Hey, all you had to do was stay",pop,1989
Had me in the palm of your hand,pop,1989
"Then, why'd you have to go and lock me out when I let you in?",pop,1989
Stay,pop,1989
"Hey, now you say you want it back",pop,1989
Now it's just too late,pop,1989
"Well, it could've been easy",pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
Let me remind you this was what you wanted,pop,1989
You ended it,pop,1989
You were all I wanted,pop,1989
But not like this,pop,1989
Not like this,pop,1989
Not like this,pop,1989
Oh,pop,1989
All you had to do was stay,pop,1989
"Hey, all you had to do was stay",pop,1989
Had me in the palm of your hand,pop,1989
"Then, why'd you have to go and lock me out when I let you in?",pop,1989
Stay,pop,1989
"Hey, now you say you want it back",pop,1989
Now it's just too late,pop,1989
"Well, could've been easy",pop,1989
All you had to do was stay,pop,1989
"Hey, all you had to do was stay",pop,1989
Had me in the palm of your hand,pop,1989
"Then, why'd you have to go and lock me out when I let you in?",pop,1989
Stay,pop,1989
"Hey, now you say you want it back",pop,1989
Now it's just too late,pop,1989
"Well, could've been easy",pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
All you had to do was stay,pop,1989
"Salt air, and the rust on your door",,folklore
I never needed anything more,,folklore
"Whispers of ""Are you sure?""",,folklore
"""Never have I ever before""",,folklore
But I can see us lost in the memory,,folklore
August slipped away into a moment in time,,folklore
'Cause it was never mine,,folklore
And I can see us twisted in bedsheets,,folklore
August sipped away like a bottle of wine,,folklore
'Cause you were never mine,,folklore
Your back beneath the sun,,folklore
Wishin' I could write my name on it,,folklore
Will you call when you're back at school?,,folklore
I remember thinkin' I had you,,folklore
But I can see us lost in the memory,,folklore
August slipped away into a moment in time,,folklore
'Cause it was never mine,,folklore
And I can see us twisted in bedsheets,,folklore
August sipped away like a bottle of wine,,folklore
'Cause you were never mine,,folklore
Back when we were still changin' for the better,,folklore
Wanting was enough,,folklore
"For me, it was enough",,folklore
To live for the hope of it all,,folklore
Canceled plans just in case you'd call,,folklore
"And say, ""Meet me behind the mall""",,folklore
"So much for summer love and saying ""us""",,folklore
'Cause you weren't mine to lose,,folklore
"You weren't mine to lose, oh",,folklore
But I can see us lost in the memory,,folklore
August slipped away into a moment in time,,folklore
'Cause it was never mine,,folklore
And I can see us twisted in bedsheets,,folklore
August sipped away like a bottle of wine,,folklore
'Cause you were never mine,,folklore
'Cause you were never mine,,folklore
Never mine,,folklore
But do you remember?,,folklore
"Remember when I pulled up and said ""Get in the car""",,folklore
And then canceled my plans just in case you'd call?,,folklore
"Back when I was livin' for the hope of it all, for the hope of it all",,folklore
"""Meet me behind the mall""",,folklore
"(Remember when I pulled up and said ""Get in the car""",,folklore
And then canceled my plans just in case you'd call?,,folklore
"Back when I was livin' for the hope of it all, for the hope of it all",,folklore
"""Meet me behind the mall"")",,folklore
"Remember when I pulled up and said ""Get in the car""",,folklore
And then canceled my plans just in case you'd call?,,folklore
Back when I was livin' for the hope of it all (For the hope of it all),,folklore
"For the hope of it all, for the hope of it all",,folklore
"(For the hope of it all, for the hope of it all)",,folklore
I'm so glad you made time to see me,country,speak now
"How's life, tell me how's your family",country,speak now
I haven't seen them in a while,country,speak now
"You've been good, busier then ever",country,speak now
"We small talk, work and the weather",country,speak now
Your guard is up and I know why,country,speak now
'Cause the last time you saw me,country,speak now
Is still burned in the back of your mind,country,speak now
You gave me roses and I left them there to die,country,speak now
So this is me swallowing my pride standing in front of you saying I'm sorry for that night,country,speak now
And I'd go back to December all the time,country,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,country,speak now
"I'd go back to December, turn around and make it all right",country,speak now
I'd go back to December all the time,country,speak now
These days I haven't been sleeping,country,speak now
Staying up playing back myself leaving,country,speak now
When your birthday passed and I didn't call,country,speak now
"And I think about summer, all the beautiful times",country,speak now
I watched you laughing from the passenger side and,country,speak now
Realized I loved you in the fall,country,speak now
"And then the cold came, the dark days when fear crept into my mind",country,speak now
You gave me all your love and all I gave you was goodbye,country,speak now
So this is me swallowing my pride standing in front of you saying I'm sorry for that night,country,speak now
And I'd go back to December all the time,country,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,country,speak now
"I'd go back to December, turn around and change my own mind",country,speak now
I'd go back to December all the time,country,speak now
"I miss your tan skin, your sweet smile, so good to me, so right",country,speak now
And how you held me in your arms that September night,country,speak now
The first time you ever saw me cry,country,speak now
Maybe this is wishful thinking,country,speak now
Probably mindless dreaming,country,speak now
If we loved again I swear I'd love you right,country,speak now
I'd go back in time and change it but I can't,country,speak now
"So if the chain is on your door, I understand",country,speak now
But this is me swallowing my pride standing in front of you saying I'm sorry for that night,country,speak now
And I'd go back to December,country,speak now
It turns out freedom ain't nothing but missing you wishing I'd realized what I had when you were mine,country,speak now
"I'd go back to December, turn around and make it alright",country,speak now
"I'd go back to December, turn around and change my own mind",country,speak now
I'd go back to December all the time,country,speak now
All the time,country,speak now
'Cause baby now we got bad blood,pop,1989
You know it used to be mad love,pop,1989
So take a look at what you've done,pop,1989
'Cause baby now we got bad blood (hey!),pop,1989
Now we got problems,pop,1989
And I don't think we can solve them,pop,1989
You made a really deep cut,pop,1989
And baby now we got bad blood (hey!),pop,1989
Did you have to do this?,pop,1989
I was thinking that you could be trusted,pop,1989
Did you have to ruin what was shining now it's all rusted,pop,1989
Did you have to hit me where,pop,1989
"I'm weak, baby, I couldn't breathe",pop,1989
I rubbed it in so deep,pop,1989
Salt in the wound like you're laughing right at me,pop,1989
"Oh, it's so sad to think about the good times",pop,1989
You and I,pop,1989
'Cause baby now we got bad blood,pop,1989
You know it used to be mad love,pop,1989
So take a look at what you've done,pop,1989
'Cause baby now we got bad blood (hey!),pop,1989
Now we got problems,pop,1989
And I don't think we can solve them,pop,1989
You made a really deep cut,pop,1989
And baby now we got bad blood (hey!),pop,1989
Did you think we'd be fine?,pop,1989
Still got scars on my back from your knife,pop,1989
So don't think it's in the past,pop,1989
These kind of wounds they last and they last,pop,1989
Now did you think it all through?,pop,1989
All these things will catch up to you,pop,1989
And time can heal but this won't,pop,1989
"So if you come in my way, just don't",pop,1989
"Oh, it's so sad to think about the good times",pop,1989
You and I,pop,1989
'Cause baby now we got bad blood,pop,1989
You know it used to be mad love,pop,1989
So take a look at what you've done,pop,1989
'Cause baby now we got bad blood (hey!),pop,1989
Now we got problems,pop,1989
And I don't think we can solve them,pop,1989
You made a really deep cut,pop,1989
And baby now we got bad blood (hey!),pop,1989
Band-aids don't fix bullet holes,pop,1989
You say sorry just for show,pop,1989
"You live like that, you live with ghosts (ghosts, ghosts)",pop,1989
Band-aids don't fix bullet holes (hey!),pop,1989
You say sorry just for show (hey!),pop,1989
"You live like that, you live with ghosts (hey!)",pop,1989
"Hm, if you love like that blood runs",pop,1989
(Bad) 'Cause baby now we got bad blood,pop,1989
You know it used to be mad love,pop,1989
So take a look at what you've done,pop,1989
'Cause baby now we got bad blood (bad),pop,1989
(Blood) Now we got problems,pop,1989
And I don't think we can solve them (think we can solve them),pop,1989
You made a really deep cut,pop,1989
And baby now we got bad blood,pop,1989
('Cause now we got bad blood) 'Cause baby now we got bad blood,pop,1989
You know it used to be mad love,pop,1989
So take a look at what you've done (look at what you've done),pop,1989
'Cause baby now we got bad blood (woah),pop,1989
Now we got problems,pop,1989
And I don't think we can solve them,pop,1989
You made a really deep cut,pop,1989
And baby now we got bad blood (hey!),pop,1989
"'Cause, baby, now we've got bad blood",pop,1989
You know it used to be mad love,pop,1989
So take a look what you've done,pop,1989
"'Cause, baby, now we've got bad blood, hey!",pop,1989
"I can't take it back, look where I'm at",pop,1989
"We was OG like D.O.C., remember that?",pop,1989
"My TLC was quite OD, ID my facts",pop,1989
"Now POV of you and me, similar Iraq",pop,1989
"I don't hate you, but I hate to critique, overrate you",pop,1989
"These beats of a dark heart, use basslines to replace you",pop,1989
"Take time and erase you, love don't hear no more",pop,1989
"No, I don't fear no more",pop,1989
"Better yet, respect ain't quite sincere no more",pop,1989
"Oh, it's so sad to",pop,1989
Think about the good times,pop,1989
You and I,pop,1989
"'Cause, baby, now we've got bad blood",pop,1989
You know it used to be mad love,pop,1989
So take a look what you've done,pop,1989
"'Cause, baby, now we've got bad blood, hey!",pop,1989
Now we've got problems,pop,1989
And I don't think we can solve 'em,pop,1989
You made a really deep cut,pop,1989
"And, baby, now we've got bad blood, hey!",pop,1989
Remember when you tried to write me off?,pop,1989
Remember when you thought I'd take a loss?,pop,1989
Don't you remember? You thought that I would need ya,pop,1989
"Follow procedure, remember? Oh, wait, you got amnesia",pop,1989
It was my season for battle wounds,pop,1989
"Battle scars, body bumped, bruised",pop,1989
"Stabbed in the back; brimstone, fire jumping through",pop,1989
"Still, all my life, I got money and power",pop,1989
And you gotta live with the bad blood now,pop,1989
"Oh, it's so sad to",pop,1989
Think about the good times,pop,1989
You and I,pop,1989
"'Cause, baby, now we've got bad blood",pop,1989
You know it used to be mad love,pop,1989
So take a look what you've done,pop,1989
"'Cause, baby, now we've got bad blood, hey!",pop,1989
Now we've got problems,pop,1989
And I don't think we can solve 'em,pop,1989
You made a really deep cut,pop,1989
"And, baby, now we've got bad blood, hey!",pop,1989
Band-Aids don't fix bullet holes,pop,1989
You say sorry just for show,pop,1989
"You live like that, you live with ghosts",pop,1989
"You forgive, you forget, but you never let it go",pop,1989
Band-Aids don't fix bullet holes,pop,1989
You say sorry just for show,pop,1989
"If you live like that, you live with ghosts",pop,1989
"If you love like that, blood runs cold",pop,1989
"'Cause, baby, now we've got bad blood",pop,1989
You know it used to be mad love,pop,1989
So take a look what you've done,pop,1989
"'Cause, baby, now we've got bad blood, hey!",pop,1989
Now we've got problems,pop,1989
And I don't think we can solve 'em,pop,1989
You made a really deep cut,pop,1989
"And, baby, now we've got bad blood, hey!",pop,1989
"'Cause, baby, now we've got bad blood",pop,1989
You know it used to be mad love,pop,1989
So take a look what you've done,pop,1989
"'Cause, baby, now we've got bad blood, hey!",pop,1989
Now we've got problems,pop,1989
And I don't think we can solve 'em,pop,1989
You made a really deep cut,pop,1989
"And, baby, now we've got bad blood, hey!",pop,1989
Your beautiful eyes,country,fearless
Stare right into my eyes,country,fearless
And sometimes,country,fearless
I think of you late at night,country,fearless
I don't know why,country,fearless
I want to be somewhere,country,fearless
Where you are,country,fearless
I want to be where,country,fearless
You're here,country,fearless
Your eyes are looking into mine,country,fearless
"So baby, make me fly",country,fearless
My heart has never felt this way before,country,fearless
I'm looking through your,country,fearless
I'm looking through your eyes,country,fearless
"I wake up, I'm alive",country,fearless
In only a little while I'll cry,country,fearless
'Cause you're my lullaby,country,fearless
"So baby come, hold me tight",country,fearless
"'Cause I, I",country,fearless
I want to be everything you need,country,fearless
I want to be where,country,fearless
You're here,country,fearless
Your eyes are looking into mine,country,fearless
"So baby, make me fly",country,fearless
My heart has never felt this way before,country,fearless
I'm looking through your,country,fearless
I'm looking through your eyes,country,fearless
Just as long as you're mine,country,fearless
I'll be your everything tonight,country,fearless
"Let me love you, kiss you",country,fearless
"Baby, let me miss you",country,fearless
Let me see your,country,fearless
Dream about,country,fearless
Dream about,country,fearless
Dream about your eyes,country,fearless
"Eyes, eyes, beautiful eyes",country,fearless
Your beautiful eyes,country,fearless
Stare right into my eyes,country,fearless
And sometimes,country,fearless
I think of you late at night,country,fearless
I don't know why,country,fearless
I want to be somewhere,country,fearless
Where you are,country,fearless
I want to be where,country,fearless
You're here,country,fearless
Your eyes are looking into mine,country,fearless
"So baby, make me fly",country,fearless
My heart has never felt this way before,country,fearless
I'm looking through your,country,fearless
I'm looking through your eyes,country,fearless
"I wake up, I'm alive",country,fearless
In only a little while I'll cry,country,fearless
'Cause you're my lullaby,country,fearless
"So baby come, hold me tight",country,fearless
"'Cause I, I",country,fearless
I want to be everything you need,country,fearless
I want to be where,country,fearless
You're here,country,fearless
Your eyes are looking into mine,country,fearless
"So baby, make me fly",country,fearless
My heart has never felt this way before,country,fearless
I'm looking through your,country,fearless
I'm looking through your eyes,country,fearless
Just as long as you're mine,country,fearless
I'll be your everything tonight,country,fearless
"Let me love you, kiss you",country,fearless
"Baby, let me miss you",country,fearless
Let me see your,country,fearless
Dream about,country,fearless
Dream about,country,fearless
Dream about your eyes,country,fearless
"Eyes, eyes, beautiful eyes",country,fearless
Took a deep breath in the mirror,,red
"He didn't like it when I wore high heels, but I do",,red
Turned the lock & put my headphones on,,red
He always said he didn't get this song but I do,,red
I do,,red
Walked in expecting you'd be late,,red
But you got here early & you stand & wave,,red
I walk to you,,red
You pulled my chair out & helped me in,,red
And you don't know how nice that is,,red
But I do,,red
And you throw your head back laughing like a little kid,,red
I think it's strange that you think I'm funny 'cause he never did,,red
I've been spending the last eight months thinking all love ever does,,red
Is break & burn & end,,red
But on a Wednesday in a café,,red
I watched it begin again,,red
...,,red
You said you never met one girl who had as many James Taylor records as you,,red
But I do,,red
We tell stories & you don't know why,,red
I'm coming off a little shy,,red
But I do,,red
But you throw your head back laughing like a little kid,,red
I think it's strange that you think I'm funny 'cause he never did,,red
I've been spending the last eight months thinking all love ever does,,red
Is break & burn & end,,red
But on a Wednesday in a café,,red
I watched it begin again,,red
...,,red
And we walk down the block to my car,,red
And I almost brought him up,,red
But you start to talk about the movies that your family watches,,red
every single Christmas & I won't talk about that,,red
"And for the first time, what's past is past",,red
'Cause you throw your head back laughing like a little kid,,red
I think it's strange that you think I'm funny 'cause he never did,,red
I've been spending the last eight months thinking all love ever does,,red
Is break & burn & end,,red
Then on a Wednesday in a café,,red
I watched it begin again,,red
Then on a Wednesday in a café,,red
I watched it begin again,,red
You're on the phone with your girlfriend—she's upset,country,fearless
She's going off about something that you said,country,fearless
'Cause she doesn't get your humor like I do.,country,fearless
"I'm in the room, it's a typical Tuesday night.",country,fearless
I'm listening to the kind of music she doesn't like.,country,fearless
And she'll never know your story like I do,country,fearless
But she wears short skirts,country,fearless
I wear t-shirt,country,fearless
She's cheer captain,country,fearless
And I'm on the bleachers,country,fearless
Dreaming about the day when you wake up and find,country,fearless
That what you're looking for has been here the whole time.,country,fearless
If you could see,country,fearless
That I'm the one,country,fearless
Who understands you,country,fearless
Been here all along,country,fearless
"So, why can't you see",country,fearless
You belong with me,country,fearless
You belong with me?,country,fearless
Walk in the streets with you in your worn out jeans,country,fearless
I can't help thinking this is how it ought to be.,country,fearless
Laughing on a park bench thinking to myself,country,fearless
"""Hey, isn't this easy?""",country,fearless
And you've got a smile,country,fearless
That can light up this whole town,country,fearless
